PopName,Area,Year,Month,Deaths
USA,01,1976,11,156511
USA,01,1976,12,161729
USA,01,1977,1,161336
USA,01,1977,2,145723
USA,01,1977,3,161336
USA,01,1977,4,156131
USA,01,1977,5,161336
USA,01,1977,6,156131
USA,01,1977,7,161336
USA,01,1977,8,161336
USA,01,1977,9,156131
USA,01,1977,10,161336
USA,01,1977,11,156131
USA,01,1977,12,161336
USA,01,1978,1,163730
USA,01,1978,2,147885
USA,01,1978,3,163730
USA,01,1978,4,158448
USA,01,1978,5,163730
USA,01,1978,6,158448
USA,01,1978,7,163730
USA,01,1978,8,163730
USA,01,1978,9,158448
USA,01,1978,10,163730
USA,01,1978,11,158448
USA,01,1978,12,163730
USA,01,1979,1,162545
USA,01,1979,2,146815
USA,01,1979,3,162545
USA,01,1979,4,157302
USA,01,1979,5,162545
USA,01,1979,6,157302
USA,01,1979,7,162545
USA,01,1979,8,162545
USA,01,1979,9,157302
USA,01,1979,10,162545
USA,01,1979,11,157302
USA,01,1979,12,162545
USA,01,1980,1,168538
USA,01,1980,2,157665
USA,01,1980,3,168538
USA,01,1980,4,163102
USA,01,1980,5,168538
USA,01,1980,6,163102
USA,01,1980,7,168538
USA,01,1980,8,168538
USA,01,1980,9,163102
USA,01,1980,10,168538
USA,01,1980,11,163102
USA,01,1980,12,168538
USA,01,1981,1,167993
USA,01,1981,2,151736
USA,01,1981,3,167993
USA,01,1981,4,162574
USA,01,1981,5,167993
USA,01,1981,6,162574
USA,01,1981,7,167993
USA,01,1981,8,167993
USA,01,1981,9,162574
USA,01,1981,10,167993
USA,01,1981,11,162574
USA,01,1981,12,167993
USA,01,1982,1,167722
USA,01,1982,2,151491
USA,01,1982,3,167722
USA,01,1982,4,162312
USA,01,1982,5,167722
USA,01,1982,6,162312
USA,01,1982,7,167722
USA,01,1982,8,167722
USA,01,1982,9,162312
USA,01,1982,10,167722
USA,01,1982,11,162312
USA,01,1982,12,167722
USA,01,1983,1,171494
USA,01,1983,2,154898
USA,01,1983,3,171494
USA,01,1983,4,165962
USA,01,1983,5,171494
USA,01,1983,6,165962
USA,01,1983,7,171494
USA,01,1983,8,171494
USA,01,1983,9,165962
USA,01,1983,10,171494
USA,01,1983,11,165962
USA,01,1983,12,171494
USA,01,1984,1,172733
USA,01,1984,2,161589
USA,01,1984,3,172733
USA,01,1984,4,167161
USA,01,1984,5,172733
USA,01,1984,6,167161
USA,01,1984,7,172733
USA,01,1984,8,172733
USA,01,1984,9,167161
USA,01,1984,10,172733
USA,01,1984,11,167161
USA,01,1984,12,172733
USA,01,1985,1,177204
USA,01,1985,2,160056
USA,01,1985,3,177204
USA,01,1985,4,171488
USA,01,1985,5,177204
USA,01,1985,6,171488
USA,01,1985,7,177204
USA,01,1985,8,177204
USA,01,1985,9,171488
USA,01,1985,10,177204
USA,01,1985,11,171488
USA,01,1985,12,177204
USA,01,1986,1,178811
USA,01,1986,2,161507
USA,01,1986,3,178811
USA,01,1986,4,173043
USA,01,1986,5,178811
USA,01,1986,6,173043
USA,01,1986,7,178811
USA,01,1986,8,178811
USA,01,1986,9,173043
USA,01,1986,10,178811
USA,01,1986,11,173043
USA,01,1986,12,178811
USA,01,1987,1,180337
USA,01,1987,2,162885
USA,01,1987,3,180337
USA,01,1987,4,174520
USA,01,1987,5,180337
