PopName,Area,Year,Month,Deaths
USA,02,1957,2,125281
USA,02,1957,3,138704
USA,02,1957,4,134230
USA,02,1957,5,138704
USA,02,1957,6,134230
USA,02,1957,7,138704
USA,02,1957,8,138704
USA,02,1957,9,134230
USA,02,1957,10,138704
USA,02,1957,11,134230
USA,02,1957,12,138704
USA,02,1958,1,139803
USA,02,1958,2,126273
USA,02,1958,3,139803
USA,02,1958,4,135293
USA,02,1958,5,139803
USA,02,1958,6,135293
USA,02,1958,7,139803
USA,02,1958,8,139803
USA,02,1958,9,135293
USA,02,1958,10,139803
USA,02,1958,11,135293
USA,02,1958,12,139803
