Year,Age,Gender,Population,Deaths
1949,2,Male,1884808,2844.0
1949,3,Female,1335275,1397.0
1949,3,Male,1374748,1742.0
1949,4,Female,1347990,1045.0
1949,4,Male,1403439,1377.0
1950,0,Female,1544340,44098.0
1950,0,Male,1602039,59727.0
1950,1,Female,1605541,3424.0
1950,1,Male,1677946,4298.0
1950,2,Female,1687616,2001.0
1950,2,Male,1746144,2514.0
1950,3,Female,1845019,1619.0
1950,3,Male,1910958,1975.0
1950,4,Female,1326463,1042.0
1950,4,Male,1383889,1275.0
1951,0,Female,1621969,45237.0
1951,0,Male,1676452,61465.0
1951,1,Female,1607851,3765.0
1951,1,Male,1681699,4222.0
1951,2,Female,1693177,2077.0
1951,2,Male,1748324,2636.0
1951,3,Female,1709557,1560.0
1951,3,Male,1769359,1934.0
1951,4,Female,1830028,1210.0
1951,4,Male,1913030,1702.0
1952,0,Female,1674801,46651.0
1952,0,Male,1737212,62762.0
1952,1,Female,1681571,3707.0
1952,1,Male,1750989,4362.0
1952,2,Female,1685626,2147.0
1952,2,Male,1744342,2694.0
1952,3,Female,1712463,1595.0
1952,3,Male,1768452,1994.0
1952,4,Female,1698436,1349.0
1952,4,Male,1773366,1651.0
1953,0,Female,1732807,46028.0
1953,0,Male,1795208,62377.0
1953,1,Female,1727564,3391.0
1953,1,Male,1802341,4197.0
1953,2,Female,1750682,1959.0
1953,2,Male,1805212,2485.0
1953,3,Female,1700453,1550.0
1953,3,Male,1759095,1905.0
1953,4,Female,1702551,1219.0
1953,4,Male,1772423,1529.0
1954,0,Female,1794172,45422.0
1954,0,Male,1856966,61369.0
1954,1,Female,1780393,3191.0
1954,1,Male,1853436,3911.0
1954,2,Female,1787388,1927.0
1954,2,Male,1849433,2335.0
1954,3,Female,1763312,1388.0
1954,3,Male,1817629,1740.0
1954,4,Female,1693581,1067.0
1954,4,Male,1765147,1372.0
1955,0,Female,1844261,45487.0
1955,0,Male,1913071,61416.0
1955,1,Female,1836234,3174.0
1955,1,Male,1907891,3877.0
1955,2,Female,1830980,1774.0
1955,2,Male,1893255,2285.0
1955,3,Female,1797608,1410.0
1955,3,Male,1859195,1746.0
1955,4,Female,1759135,1108.0
1955,4,Male,1825684,1310.0
1956,0,Female,1885909,45789.0
1956,0,Male,1951951,62394.0
1956,1,Female,1880022,3300.0
1956,1,Male,1955427,3782.0
1956,2,Female,1877262,1803.0
1956,2,Male,1939516,2259.0
1956,3,Female,1838705,1263.0
1956,3,Male,1899624,1700.0
1956,4,Female,1796712,1126.0
1956,4,Male,1869268,1370.0
1957,0,Female,1969889,47728.0
1957,0,Male,2042094,64366.0
1957,1,Female,1915146,3456.0
1957,1,Male,1985227,3940.0
1957,2,Female,1910761,1848.0
1957,2,Male,1978640,2350.0
1957,3,Female,1882420,1418.0
1957,3,Male,1942614,1687.0
1957,4,Female,1841188,1103.0
1957,4,Male,1911828,1386.0
1958,0,Female,1988811,48653.15
1958,0,Male,2060167,65010.04
1958,1,Female,1991670,3431.2
1958,1,Male,2065502,3880.7
1958,2,Female,1933374,1943.85
1958,2,Male,1997894,2439.3
1958,3,Female,1911449,1455.39
1958,3,Male,1976732,1821.98
1958,4,Female,1886589,1178.7
1958,4,Male,1955413,1390.46
1959,0,Female,2015614,47882.0
1959,0,Male,2081769,64534.0
1959,1,Female,2016115,3247.0
1959,1,Male,2087299,3835.0
1959,2,Female,2010792,1856.0
1959,2,Male,2081824,2422.0
1959,3,Female,1942844,1381.0
1959,3,Male,2004941,1750.0
1959,4,Female,1930251,1196.0
1959,4,Male,2003669,1481.0
1959,5,Female,1906260,1002.0
1959,5,Male,1971705,1320.0
1959,6,Female,1851739,855.0
1959,6,Male,1912702,1159.0
1959,7,Female,1816954,720.0
1959,7,Male,1880569,1028.0
1959,8,Female,1755614,573.0
1959,8,Male,1814139,940.0
1959,9,Female,1684589,563.0
1959,9,Male,1749824,900.0
1959,10,Female,1708978,511.0
1959,10,Male,1769305,898.0
1959,11,Female,1709777,526.0
1959,11,Male,1772598,918.0
1959,12,Female,1844422,599.0
1959,12,Male,1913782,1019.0
1959,13,Female,1331345,448.0
1959,13,Male,1372435,921.0
1959,14,Female,1376823,526.0
1959,14,Male,1420545,1050.0
1959,15,Female,1383599,649.0
1959,15,Male,1420801,1322.0
1959,16,Female,1440922,715.0
1959,16,Male,1478901,1666.0
1959,17,Female,1280402,710.0
1959,17,Male,1306585,1802.0
1959,18,Female,1202560,725.0
1959,18,Male,1178553,1841.0
1959,19,Female,1128517,714.0
1959,19,Male,1096160,1817.0
1959,20,Female,1118658,787.0
