Year,Age,mx_male,mx_female,mx_diff
1952,2,0.0015444219080891248,0.0012737107756999476,0.0002707111323891772
1952,3,0.0011275397918631663,0.0009314069851436206,0.00019613280671954567
1952,4,0.000930997887632897,0.0007942601310853044,0.00013673775654759264
1953,0,0.034746391504494184,0.02656268124493957,0.008183710259554614
1953,1,0.002328638143392399,0.001962879522842569,0.00036575862054983015
1953,2,0.001376569621739718,0.0011189924840719217,0.00025757713766779637
1953,3,0.0010829432179615087,0.0009115218121288856,0.0001714214058326231
1953,4,0.0008626608885125052,0.0007159844257235172,0.000146676462788988
1954,0,0.033047993339673426,0.025316413365050843,0.007731579974622583
1954,1,0.0021101349061958437,0.0017923009133376732,0.00031783399285817047
1954,2,0.0012625491164048657,0.0010781095095189182,0.00018443960688594753
1954,3,0.000957291064348115,0.0007871550808932282,0.00017013598345488683
1954,4,0.0007772723744821253,0.000630025962738127,0.00014724641174399824
1955,0,0.032103356331260054,0.024664079541886968,0.007439276789373086
1955,1,0.002032086738707819,0.0017285378660889625,0.00030354887261885657
1955,2,0.0012069161312131752,0.0009688800533047876,0.0002380360779083876
1955,3,0.0009391161228381101,0.0007843756814611417,0.0001547404413769684
1955,4,0.0007175392893841432,0.0006298550139699341,8.768427541420911e-05
1956,0,0.031964941742902354,0.024279538408268905,0.00768540333463345
1956,1,0.0019341044181143045,0.0017552986082077762,0.00017880580990652832
1956,2,0.0011647235702102999,0.0009604413235872243,0.00020428224662307555
1956,3,0.0008949139408640868,0.0006868964842103545,0.0002080174566537323
1956,4,0.0007329072128769123,0.0006267003281549853,0.00010620688472192698
1957,0,0.03151960683494492,0.024228776342220298,0.00729083049272462
1957,1,0.001984659688791257,0.0018045621587074823,0.00018009753008377456
1957,2,0.001187684470141107,0.0009671539245358263,0.00022053054560528082
1957,3,0.0008684175034257964,0.0007532856641982129,0.00011513183922758346
1957,4,0.0007249606136116848,0.0005990697310649429,0.00012589088254674188
1958,0,0.03155571368728846,0.02446343569097315,0.0070922779963153125
1958,1,0.0018788168687321532,0.0017227753593717834,0.00015604150936036985
1958,2,0.0012209356452344319,0.001005418506714169,0.0002155171385202629
1958,3,0.0009217132115026215,0.00076140666060146,0.00016030655090116153
