Year,Age,Gender,Population,Deaths,MortalityRate,qx_est
1933,0,Female,952985,52556.0,0.055148821859735464,0.05365569924561553
1933,0,Male,984905,68331.0,0.06937826490879831,0.06702629788951864
1933,1,Female,994297,8907.0,0.008958087975725563,0.008918083848252545
1933,1,Male,1016844,10313.0,0.01014216536656557,0.010090907043894815
1933,2,Female,1079934,4332.0,0.004011356249548584,0.004003321507063395
1933,2,Male,1103441,5132.0,0.004650905666909241,0.00464010695290118
1933,3,Female,1102272,3158.0,0.002864991581025373,0.0028608914092329574
1933,3,Male,1126997,3754.0,0.0033309760363159796,0.0033254344902653443
1933,4,Female,1110817,2491.0,0.0022424935880527574,0.0022399810777534723
1933,4,Male,1139660,2928.0,0.0025691873014758787,0.002565889764382212
1934,0,Female,921473,56235.0,0.06102729000198595,0.059202434941739046
1934,0,Male,953093,73950.0,0.07758949021763878,0.07465578856365496
1934,1,Female,947225,9469.0,0.009996568925017815,0.009946769309788661
1934,1,Male,969990,10978.0,0.011317642449922165,0.011253838863512944
1934,2,Female,1044169,4730.0,0.004529918049664374,0.0045196734458057275
1934,2,Male,1063573,5478.0,0.005150563242955585,0.005137321835418929
1934,3,Female,1088875,3223.0,0.002959935713465733,0.002955559422663123
1934,3,Male,1115475,3846.0,0.0034478585356014254,0.003441921496677436
1934,4,Female,1101208,2457.0,0.00223118611561122,0.002228698870049839
1934,4,Male,1125710,2994.0,0.002659654795640085,0.002656121047368565
1935,0,Female,958672,51333.0,0.053545946893202266,0.05213761132867911
1935,0,Male,992772,68805.0,0.06930594335859593,0.06695882134510922
1935,1,Female,920107,7730.0,0.00840119681732668,0.008366005382358321
1935,1,Male,942268,9001.0,0.009552484006673261,0.009507003962328842
1935,2,Female,1003739,3819.0,0.0038047739502002015,0.003797544968913491
1935,2,Male,1023957,4672.0,0.0045626915974010624,0.004552298333189375
1935,3,Female,1052740,2896.0,0.0027509166555844747,0.0027471363515897407
1935,3,Male,1075048,3435.0,0.003195206167538566,0.0031901069287975092
1935,4,Female,1087538,2514.0,0.002311643363266387,0.00230897357334392
1935,4,Male,1113536,2740.0,0.0024606299212598425,0.0024576050529909743
1936,0,Female,952134,52786.0,0.055439675507859186,0.05393090691335389
1936,0,Male,992701,69749.0,0.0702618411787638,0.06785028723088316
1936,1,Female,958969,7723.0,0.00805344072644684,0.008021098652574388
1936,1,Male,983259,9378.0,0.009537670135742464,0.009492330818244965
1936,2,Female,983301,3882.0,0.003947926423343412,0.003940143607185198
1936,2,Male,1004007,4594.0,0.00457566530910641,0.004565212900913496
1936,3,Female,1012067,2736.0,0.0027033783336478713,0.002699727497045612
1936,3,Male,1034438,3162.0,0.0030567322546155495,0.003052065205095378
1936,4,Female,1050578,2259.0,0.002150244912800382,0.0021479347922794823
1936,4,Male,1072338,2558.0,0.002385441903578909,0.002382598998019181
1937,0,Female,949319,51758.0,0.05452118834659372,0.053061555414705364
1937,0,Male,982918,68173.0,0.06935776941718434,0.06700717593887484
1937,1,Female,958795,7532.0,0.007855693865737723,0.00782491854258216
1937,1,Male,989772,8735.0,0.008825264808460938,0.008786436466412972
1937,2,Female,1027350,3785.0,0.003684236141529177,0.0036774576706068984
1937,2,Male,1051681,4463.0,0.004243682257262421,0.004234690561508825
